地区,普通高校在校学生人数（万人）,人均地区生产总值（元）,规模以上工业企业数（个）,民用汽车拥有量（万）,商品房销售额（亿）,国内旅游收入（亿）,出口额（亿）,专利授权（个）,人均可支配收入（元）,人才总量（万人）
杭州市,46.6,136617,5992,285.85,4595.49,3331.29,3693.23,92399,68666,280
宁波市,16.83,132614,8571,297.14,3049.52,1998.36,6406.97,60520,68008,228.5
温州市,12.07,71766,6724,248.61,1905.53,1293.11,1878.09,52199,63481,175
嘉兴市,5.19,102541,6364,158.84,1667.58,1170.51,2273.18,34966,64124,173.73
湖州市,3.38,95579,3792,95.03,1100.09,1284.16,1025.79,17712,61743,137.85
绍兴市,11.67,113746,4561,161.15,1815.88,1073.9,2386.04,35574,66694,120.7
金华市,10.46,67329,4629,223.7,1044.18,1297.16,4613.25,42446,61545,48.8
衢州市,1.69,72192,1131,49.95,264.43,403.53,253.59,6557,49300,25.54
舟山市,2.52,130130,391,21.09,180.59,731.06,588.1,2805,63702,39.8
台州市,4,79889,4611,186.94,1122.23,1246.92,1760.86,34828,62598,135.7
丽水市,2.19,61811,1207,45.98,399.51,655.94,300.71,11606,48532,44.38
