"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10"
"x1",0.314240173848276,0.209259617294895,0.475349713104785,0.235916912444146,0.176048479864877,0.306541460993522,0.237830358276441,0.103294957827737,0.471726197050787,0.401409914175162
"x2",0.219166969876987,0.693520268126038,-0.354801657254984,0.140995961191841,-0.330440841641339,0.21523282706472,-0.296938299935103,0.186740389067023,0.0919774105383228,-0.195476109416312
"x3",0.309010111878545,-0.390041351654762,-0.287416607565714,-0.335125160037753,-0.232668859214393,0.142511914482203,0.375395339193617,0.323029613307536,0.398146472007024,-0.281475517248243
"x4",0.33212187106206,-0.380288330958492,-0.0348393077084558,0.0564141864203886,0.202306807507853,0.17380284179558,-0.703831449774366,-0.294749118835439,0.275689002332935,-0.106225511882221
"x5",0.353657173353876,0.0877525075503507,0.213537015340438,-0.0719668860898307,-0.20363333019034,0.273738468824119,0.309678548797366,-0.642906570480572,-0.304037474559343,-0.313657585868198
"x6",0.340596676270174,0.147710385809883,0.296629106412663,0.0766529474371353,0.0500176502250157,-0.772558697903811,-0.00673123272961273,0.0545732476590404,0.162873648790603,-0.373377775919091
"x7",0.289647436672194,-0.292926317118799,-0.325501226460487,0.67917084484944,-0.292481461905937,-0.189612271496562,0.14764977858128,-0.0523150127537746,-0.161786049744844,0.301436871700146
"x8",0.350852269709639,-0.131067544759399,0.24073444228415,0.0345993130461342,0.191443044620018,0.213867099201708,-0.120303460445173,0.570379225815833,-0.60180865722069,-0.127299568686445
"x9",0.293343578384692,0.208012896757233,-0.515093587482147,-0.13757102100521,0.699917001384384,-0.0849727538816507,0.222502568635689,-0.131958225586427,-0.0905462884058362,0.119204931504
